"","Country","Date","Total_Vaccinations","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Vaccine","Vaccinations_per_Type","Month","Death_Rate","Death_Rate_Level","Vaccine_Efficacy_Cases","Vaccine_Efficacy_Deaths"
"1","Argentina",2020-12-29,20487,"AMRO",12671,1654805,191,47946,"Moderna",2,"2020-12",1.38197568680004,"High",99.2342904450978,99.6016351729028
"2","Argentina",2020-12-29,20487,"AMRO",12671,1654805,191,47946,"Oxford/AstraZeneca",3,"2020-12",1.38197568680004,"High",99.2342904450978,99.6016351729028
"3","Argentina",2020-12-29,20487,"AMRO",12671,1654805,191,47946,"Sinopharm/Beijing",1,"2020-12",1.38197568680004,"High",99.2342904450978,99.6016351729028
"4","Argentina",2020-12-29,20487,"AMRO",12671,1654805,191,47946,"Sputnik V",20481,"2020-12",1.38197568680004,"High",99.2342904450978,99.6016351729028
"5","Argentina",2020-12-30,40589,"AMRO",12545,1667350,212,48158,"Moderna",2,"2020-12",1.38197568680004,"High",99.247608480523,99.5597823829893
"6","Argentina",2020-12-30,40589,"AMRO",12545,1667350,212,48158,"Oxford/AstraZeneca",3,"2020-12",1.38197568680004,"High",99.247608480523,99.5597823829893
"7","Argentina",2020-12-30,40589,"AMRO",12545,1667350,212,48158,"Sinopharm/Beijing",1,"2020-12",1.38197568680004,"High",99.247608480523,99.5597823829893
"8","Argentina",2020-12-30,40589,"AMRO",12545,1667350,212,48158,"Sputnik V",40583,"2020-12",1.38197568680004,"High",99.247608480523,99.5597823829893
"9","Argentina",2020-12-31,43394,"AMRO",6969,1674319,113,48271,"Moderna",2,"2020-12",1.38197568680004,"High",99.5837710734932,99.7659049947173
"10","Argentina",2020-12-31,43394,"AMRO",6969,1674319,113,48271,"Oxford/AstraZeneca",3,"2020-12",1.38197568680004,"High",99.5837710734932,99.7659049947173
"11","Argentina",2020-12-31,43394,"AMRO",6969,1674319,113,48271,"Sinopharm/Beijing",1,"2020-12",1.38197568680004,"High",99.5837710734932,99.7659049947173
"12","Argentina",2020-12-31,43394,"AMRO",6969,1674319,113,48271,"Sputnik V",43388,"2020-12",1.38197568680004,"High",99.5837710734932,99.7659049947173
"13","Argentina",2021-01-01,43521,"AMRO",3422,1677741,66,48337,"Moderna",2,"2021-01",0.235745949199885,"High",99.7960352640843,99.8634586341726
"14","Argentina",2021-01-01,43521,"AMRO",3422,1677741,66,48337,"Oxford/AstraZeneca",5,"2021-01",0.235745949199885,"High",99.7960352640843,99.8634586341726
"15","Argentina",2021-01-01,43521,"AMRO",3422,1677741,66,48337,"Sinopharm/Beijing",1,"2021-01",0.235745949199885,"High",99.7960352640843,99.8634586341726
"16","Argentina",2021-01-01,43521,"AMRO",3422,1677741,66,48337,"Sputnik V",43513,"2021-01",0.235745949199885,"High",99.7960352640843,99.8634586341726
"17","Argentina",2021-01-02,46833,"AMRO",7161,1684902,148,48485,"Moderna",2,"2021-01",0.235745949199885,"High",99.5749901181196,99.6947509539033
"18","Argentina",2021-01-02,46833,"AMRO",7161,1684902,148,48485,"Oxford/AstraZeneca",6,"2021-01",0.235745949199885,"High",99.5749901181196,99.6947509539033
"19","Argentina",2021-01-02,46833,"AMRO",7161,1684902,148,48485,"Sinopharm/Beijing",1,"2021-01",0.235745949199885,"High",99.5749901181196,99.6947509539033
"20","Argentina",2021-01-02,46833,"AMRO",7161,1684902,148,48485,"Sputnik V",46824,"2021-01",0.235745949199885,"High",99.5749901181196,99.6947509539033
"21","Argentina",2021-01-03,47275,"AMRO",5470,1690372,125,48610,"Moderna",2,"2021-01",0.235745949199885,"High",99.6764025906724,99.7428512651718
"22","Argentina",2021-01-03,47275,"AMRO",5470,1690372,125,48610,"Oxford/AstraZeneca",6,"2021-01",0.235745949199885,"High",99.6764025906724,99.7428512651718
"23","Argentina",2021-01-03,47275,"AMRO",5470,1690372,125,48610,"Sinopharm/Beijing",1,"2021-01",0.235745949199885,"High",99.6764025906724,99.7428512651718
"24","Argentina",2021-01-03,47275,"AMRO",5470,1690372,125,48610,"Sputnik V",47266,"2021-01",0.235745949199885,"High",99.6764025906724,99.7428512651718
"25","Argentina",2021-01-04,57735,"AMRO",14114,1704486,261,48871,"Moderna",2,"2021-01",0.235745949199885,"High",99.1719497842751,99.4659409465736
"26","Argentina",2021-01-04,57735,"AMRO",14114,1704486,261,48871,"Oxford/AstraZeneca",6,"2021-01",0.235745949199885,"High",99.1719497842751,99.4659409465736
"27","Argentina",2021-01-04,57735,"AMRO",14114,1704486,261,48871,"Sinopharm/Beijing",1,"2021-01",0.235745949199885,"High",99.1719497842751,99.4659409465736
"28","Argentina",2021-01-04,57735,"AMRO",14114,1704486,261,48871,"Sputnik V",57726,"2021-01",0.235745949199885,"High",99.1719497842751,99.4659409465736
"29","Argentina",2021-01-05,68458,"AMRO",14475,1718961,248,49119,"Moderna",2,"2021-01",0.235745949199885,"High",99.1579215584298,99.4951037276818
"30","Argentina",2021-01-05,68458,"AMRO",14475,1718961,248,49119,"Oxford/AstraZeneca",6,"2021-01",0.235745949199885,"High",99.1579215584298,99.4951037276818
"31","Argentina",2021-01-05,68458,"AMRO",14475,1718961,248,49119,"Sinopharm/Beijing",5,"2021-01",0.235745949199885,"High",99.1579215584298,99.4951037276818
"32","Argentina",2021-01-05,68458,"AMRO",14475,1718961,248,49119,"Sputnik V",68445,"2021-01",0.235745949199885,"High",99.1579215584298,99.4951037276818
"33","Argentina",2021-01-06,78567,"AMRO",13906,1732867,233,49352,"Moderna",2,"2021-01",0.235745949199885,"High",99.197514869866,99.5278813421948
"34","Argentina",2021-01-06,78567,"AMRO",13906,1732867,233,49352,"Oxford/AstraZeneca",6,"2021-01",0.235745949199885,"High",99.197514869866,99.5278813421948
"35","Argentina",2021-01-06,78567,"AMRO",13906,1732867,233,49352,"Sinopharm/Beijing",8,"2021-01",0.235745949199885,"High",99.197514869866,99.5278813421948
"36","Argentina",2021-01-06,78567,"AMRO",13906,1732867,233,49352,"Sputnik V",78551,"2021-01",0.235745949199885,"High",99.197514869866,99.5278813421948
"37","Argentina",2021-01-07,96788,"AMRO",14373,1747240,245,49597,"Moderna",2,"2021-01",0.235745949199885,"High",99.1773883381791,99.506018509184
